아이템명,획득확률,처음,끝
아장아장,0.032,0,0.032
아기곰 밤산책,0.025,0.032,0.057
수호 날개,0.03,0.057,0.087
밤산책 한벌옷(남) / 밤산책 한벌옷(여),0.032,0.087,0.119
아기곰 페도라,0.031,0.119,0.15
핑크바니 스웨터,0.05,0.15,0.2
새기 팬츠,0.05,0.2,0.25
라 돌체 비타,0.05,0.25,0.3
탐정조수 주황버섯,0.05,0.3,0.35
투데이 제이,0.05,0.35,0.4
별별핀,0.05,0.4,0.45
달별 백팩,0.05,0.45,0.5
시크릿 패스포트,0.04,0.5,0.54
스포티룩 한벌옷,0.025,0.54,0.565
아이돌 마스크 블랙,0.035,0.565,0.6
아이돌 마스크 화이트,0.035,0.6,0.635
블랙 벙거지,0.04,0.635,0.675
화이트 벙거지,0.04,0.675,0.715
동백 베일,0.045,0.715,0.76
동백 송이,0.025,0.76,0.785
동백검,0.015,0.785,0.8
스카우터,0.05,0.8,0.85
코코아의 유령 의자,0.05,0.85,0.9
[30일] 동백검 명찰 반지 교환권,0.05,0.9,0.95
[30일] 동백검 말풍선 반지 교환권,0.05,0.95,1
