
level,need,sum
1 ,15 ,0 
2 ,34 ,15 
3 ,57 ,49 
4 ,92 ,106 
5 ,135 ,198 
6 ,372 ,333 
7 ,450 ,705 
8 ,840 ,1155 
9 ,1242 ,1995 
10 ,1242 ,3237 
11 ,1242 ,4479 
12 ,1242 ,5721 
13 ,1242 ,6963 
14 ,1242 ,8205 
15 ,1490 ,9447 
16 ,1788 ,10937 
17 ,2145 ,12725 
18 ,2574 ,14870 
19 ,3088 ,17444 
20 ,3705 ,20532 
21 ,4446 ,24237 
22 ,5335 ,28683 
23 ,6402 ,34018 
24 ,7682 ,40420 
25 ,9218 ,48102 
26 ,11061 ,57320 
27 ,13273 ,68381 
28 ,15927 ,81654 
29 ,19112 ,97581 
30 ,19112 ,116693 
31 ,19112 ,135805 
32 ,19112 ,154917 
33 ,19112 ,174029 
34 ,19112 ,193141 
35 ,22934 ,212253 
36 ,27520 ,235187 
37 ,33024 ,262707 
38 ,39628 ,295731 
39 ,47553 ,335359 
40 ,51357 ,382912 
41 ,55465 ,434269 
42 ,59902 ,489734 
43 ,64694 ,549636 
44 ,69869 ,614330 
45 ,75458 ,684199 
46 ,81494 ,759657 
47 ,88013 ,841151 
48 ,95054 ,929164 
49 ,102658 ,1024218 
50 ,110870 ,1126876 
51 ,119739 ,1237746 
52 ,129318 ,1357485 
53 ,139663 ,1486803 
54 ,150836 ,1626466 
55 ,162902 ,1777302 
56 ,175934 ,1940204 
57 ,190008 ,2116138 
58 ,205208 ,2306146 
59 ,221624 ,2511354 
60 ,221624 ,2732978 
61 ,221624 ,2954602 
62 ,221624 ,3176226 
63 ,221624 ,3397850 
64 ,221624 ,3619474 
65 ,238245 ,3841098 
66 ,256113 ,4079343 
67 ,275321 ,4335456 
68 ,295970 ,4610777 
69 ,318167 ,4906747 
70 ,342029 ,5224914 
71 ,367681 ,5566943 
72 ,395257 ,5934624 
73 ,424901 ,6329881 
74 ,456768 ,6754782 
75 ,488741 ,7211550 
76 ,522952 ,7700291 
77 ,559558 ,8223243 
78 ,598727 ,8782801 
79 ,640637 ,9381528 
80 ,685481 ,10022165 
81 ,733464 ,10707646 
82 ,784806 ,11441110 
83 ,839742 ,12225916 
84 ,898523 ,13065658 
85 ,961419 ,13964181 
86 ,1028718 ,14925600 
87 ,1100728 ,15954318 
88 ,1177778 ,17055046 
89 ,1260222 ,18232824 
90 ,1342136 ,19493046 
91 ,1429374 ,20835182 
92 ,1522283 ,22264556 
93 ,1621231 ,23786839 
94 ,1726611 ,25408070 
95 ,1838840 ,27134681 
96 ,1958364 ,28973521 
97 ,2085657 ,30931885 
98 ,2221224 ,33017542 
99 ,2365603 ,35238766 
100 ,2365603 ,37604369 
101 ,2365603 ,39969972 
102 ,2365603 ,42335575 
103 ,2365603 ,44701178 
104 ,2365603 ,47066781 
105 ,2519367 ,49432384 
106 ,2683125 ,51951751 
107 ,2857528 ,54634876 
108 ,3043267 ,57492404 
109 ,3241079 ,60535671 
110 ,3451749 ,63776750 
111 ,3676112 ,67228499 
112 ,3915059 ,70904611 
113 ,4169537 ,74819670 
114 ,4440556 ,78989207 
115 ,4729192 ,83429763 
116 ,5036589 ,88158955 
117 ,5363967 ,93195544 
118 ,5712624 ,98559511 
119 ,6083944 ,104272135 
120 ,6479400 ,110356079 
121 ,6900561 ,116835479 
122 ,7349097 ,123736040 
123 ,7826788 ,131085137 
124 ,8335529 ,138911925 
125 ,8877338 ,147247454 
126 ,9454364 ,156124792 
127 ,10068897 ,165579156 
128 ,10723375 ,175648053 
129 ,11420394 ,186371428 
130 ,12162719 ,197791822 
131 ,12953295 ,209954541 
132 ,13795259 ,222907836 
133 ,14691950 ,236703095 
134 ,15646926 ,251395045 
135 ,16663976 ,267041971 
136 ,17747134 ,283705947 
137 ,18900697 ,301453081 
138 ,20129242 ,320353778 
139 ,21437642 ,340483020 
140 ,22777494 ,361920662 
141 ,24201087 ,384698156 
142 ,25713654 ,408899243 
143 ,27320757 ,434612897 
144 ,29028304 ,461933654 
145 ,30842573 ,490961958 
146 ,32770233 ,521804531 
147 ,34818372 ,554574764 
148 ,36994520 ,589393136 
149 ,39306677 ,626387656 
150 ,41763344 ,665694333 
151 ,44373553 ,707457677 
152 ,47146900 ,751831230 
153 ,50093581 ,798978130 
154 ,53224429 ,849071711 
155 ,56550955 ,902296140 
156 ,60085389 ,958847095 
157 ,63840725 ,1018932484 
158 ,67830770 ,1082773209 
159 ,72070193 ,1150603979 
160 ,76574580 ,1222674172 
161 ,81360491 ,1299248752 
162 ,86445521 ,1380609243 
163 ,91848366 ,1467054764 
164 ,97588888 ,1558903130 
165 ,103688193 ,1656492018 
166 ,110168705 ,1760180211 
167 ,117054249 ,1870348916 
168 ,124370139 ,1987403165 
169 ,132143272 ,2111773304 
170 ,140402226 ,2243916576 
171 ,149177365 ,2384318802 
172 ,158500950 ,2533496167 
173 ,168407259 ,2691997117 
174 ,178932712 ,2860404376 
175 ,190116006 ,3039337088 
176 ,201998256 ,3229453094 
177 ,214623147 ,3431451350 
178 ,228037093 ,3646074497 
179 ,242289411 ,3874111590 
180 ,256826775 ,4116401001 
181 ,272236381 ,4373227776 
